client num,txn per client,rd rate,key num,distribution,op per txn,tc,no_vec,dbcop
2,200,0.5,10000,uniform,20,1389,1102728,804694
5,200,0.5,10000,uniform,20,5997,16961857,4464547
10,200,0.5,10000,uniform,20,89494,157498210,17347698
15,200,0.5,10000,uniform,20,62398,563487922,38616414
20,200,0.5,10000,uniform,20,292787,523435254,57085672
25,200,0.5,10000,uniform,20,646646,498492955,63199124
30,200,0.5,10000,uniform,20,936170,520930976,75893984
40,200,0.5,10000,uniform,20,2147173,505172141,111325356
50,200,0.5,10000,uniform,20,2486847,589897557,160471122
